Kingdom,Phylum,Class,Order,Family,Genus,Aerotolerance,Aerotolerance_cat,Reference,Comments,Citation_link
,,,,Alcaligenaceae,Advenella,A,aerotolerant,Bergey's Manual,Based on Alcaligenaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,A,aerotolerant,Bergey's Manual,Based on Alcaligenaceae,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Candidimonas,A/FA,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,"Liu et al., 2008",NA,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65314-0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Eoetvoesia,A,aerotolerant,Bergey's Manual,Based on Alcaligenaceae,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Other,A,aerotolerant,Bergey's Manual,Based on Alcaligenaceae,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Paenalcaligenes,A,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,FAN,aerotolerant,Bergey's Manual,NA,NA
NA,NA,NA,NA,NA,NA,OA,aerotolerant,Bergey's manual,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Verticiella,FA,aerotolerant,Vandamme et al. 2015,not in Bergey's,NA
NA,NA,NA,NA,NA,NA,A/MA,aerotolerant,Bergey's Manual,NA,NA
